time,node_id,x,P(Pa),P(MPa),v,T(C),visc(cSt),rho
10.500000,32,32653.061224,3040674.655358,3.040675,0.599386,39.999218,31.434913,834.291749
10.500000,33,33673.469388,2979450.233042,2.979450,0.599408,39.994882,31.434913,834.257850
10.500000,34,34693.877551,2918225.851546,2.918226,0.599431,39.999174,31.434913,834.217969
10.500000,35,35714.285714,2857001.276424,2.857001,0.599454,39.994926,31.434913,834.184011
10.500000,36,36734.693878,2795776.434453,2.795776,0.599477,39.999130,31.434913,834.144194
10.500000,37,37755.102041,2734551.728268,2.734552,0.599500,39.994969,31.434913,834.110180
10.500000,38,38775.510204,2673327.792136,2.673328,0.599522,39.999087,31.434913,834.070426
10.500000,39,39795.918367,2612105.258848,2.612105,0.599542,39.995011,31.434913,834.036357
10.500000,40,40816.326531,2550884.526902,2.550885,0.599561,39.999044,31.434913,833.996668
10.500000,41,41836.734694,2489665.843363,2.489666,0.599578,39.995053,31.434913,833.962545
10.500000,42,42857.142857,2428449.311286,2.428449,0.599593,39.999002,31.434913,833.922921
10.500000,43,43877.551020,2367235.026608,2.367235,0.599606,39.995095,31.434913,833.888745
10.500000,44,44897.959184,2306023.037448,2.306023,0.599617,39.998960,31.434913,833.849185
10.500000,45,45918.367347,2244813.427263,2.244813,0.599625,39.995136,31.434913,833.814958
10.500000,46,46938.775510,2183606.244045,2.183606,0.599632,39.998919,31.434913,833.775461
10.500000,47,47959.183673,2122401.572787,2.122402,0.599637,39.995177,31.434913,833.741183
10.500000,48,48979.591837,2061199.462909,2.061199,0.599640,39.998878,31.434913,833.701750
10.500000,49,50000.000000,2000000.000000,2.000000,0.599641,39.995217,31.434913,833.667421
15.500000,0,0.000000,5000000.000000,5.000000,0.747183,40.000000,31.434913,835.473157
15.500000,1,1020.408163,4938742.018036,4.938742,0.747184,39.991384,31.434913,835.442162
15.500000,2,2040.816327,4877486.626413,4.877487,0.747186,39.999850,31.434913,835.399307
15.500000,3,3061.224490,4816233.837510,4.816234,0.747190,39.991531,31.434913,835.368111
15.500000,4,4081.632653,4754983.486203,4.754983,0.747195,39.999703,31.434913,835.325467
15.500000,5,5102.040816,4693735.584656,4.693736,0.747202,39.991676,31.434913,835.294074
15.500000,6,6122.448980,4632489.969514,4.632490,0.747210,39.999559,31.434913,835.251637
15.500000,7,7142.857143,4571246.651832,4.571247,0.747220,39.991817,31.434913,835.220052
15.500000,8,8163.265306,4510005.473645,4.510005,0.747231,39.999419,31.434913,835.177817
15.500000,9,9183.673469,4448766.441679,4.448766,0.747243,39.991955,31.434913,835.146044
15.500000,10,10204.081633,4387529.405007,4.387529,0.747258,39.999281,31.434913,835.104007
15.500000,11,11224.489796,4326294.370891,4.326294,0.747274,39.992091,31.434913,835.072050
15.500000,12,12244.897959,4265061.185698,4.265061,0.747291,39.999147,31.434913,835.030206
15.500000,13,13265.306122,4203829.862916,4.203830,0.747310,39.992223,31.434913,834.998069
15.500000,14,14285.714286,4142600.237211,4.142600,0.747330,39.999015,31.434913,834.956414
15.500000,15,15306.122449,4081372.275103,4.081372,0.747352,39.992353,31.434913,834.924100
15.500000,16,16326.530612,4020145.742542,4.020146,0.747376,39.998886,31.434913,834.882630
15.500000,17,17346.938776,3958920.434982,3.958920,0.747400,39.992479,31.434913,834.850143
15.500000,18,18367.346939,3897695.874802,3.897696,0.747426,39.998760,31.434913,834.808854
15.500000,19,19387.755102,3836471.693559,3.836472,0.747451,39.992603,31.434913,834.776197
15.500000,20,20408.163265,3775247.424432,3.775247,0.747477,39.998637,31.434913,834.735082
15.500000,21,21428.571429,3714022.950958,3.714023,0.747503,39.992724,31.434913,834.702260
15.500000,22,22448.979592,3652798.316608,3.652798,0.747528,39.998517,31.434913,834.661316
15.500000,23,23469.387755,3591573.802281,3.591574,0.747553,39.992842,31.434913,834.628330
15.500000,24,24489.795918,3530349.341358,3.530349,0.747579,39.998399,31.434913,834.587554
15.500000,25,25510.204082,3469124.859024,3.469125,0.747604,39.992958,31.434913,834.554409
15.500000,26,26530.612245,3407900.288111,3.407900,0.747630,39.998284,31.434913,834.513796
15.500000,27,27551.020408,3346675.840151,3.346676,0.747655,39.993070,31.434913,834.480497
15.500000,28,28571.428571,3285451.442460,3.285451,0.747681,39.998172,31.434913,834.440043
15.500000,29,29591.836735,3224226.949768,3.224227,0.747706,39.993181,31.434913,834.406592
15.500000,30,30612.244898,3163002.184383,3.163002,0.747732,39.998062,31.434913,834.366295
15.500000,31,31632.653061,3101777.403138,3.101777,0.747758,39.993288,31.434913,834.332696
15.500000,32,32653.061224,3040552.938317,3.040553,0.747783,39.997955,31.434913,834.292552
15.500000,33,33673.469388,2979329.296114,2.979329,0.747808,39.993394,31.434913,834.258809
15.500000,34,34693.877551,2918106.816399,2.918107,0.747831,39.997850,31.434913,834.218815
15.500000,35,35714.285714,2856885.839348,2.856886,0.747853,39.993496,31.434913,834.184933
15.500000,36,36734.693878,2795666.460474,2.795666,0.747874,39.997748,31.434913,834.145086
15.500000,37,37755.102041,2734448.849834,2.734449,0.747893,39.993596,31.434913,834.111069
15.500000,38,38775.510204,2673233.034392,2.673233,0.747910,39.997648,31.434913,834.071367
15.500000,39,39795.918367,2612019.137816,2.612019,0.747926,39.993694,31.434913,834.037218
15.500000,40,40816.326531,2550807.175259,2.550807,0.747940,39.997551,31.434913,833.997657
